City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
188,rakops,-21.0167,24.3333,18.65,22,6,2.21,BW,1690228595
189,queenstown,-31.8976,26.8753,5.07,50,0,0.94,ZA,1690228596
190,makinsk,52.6292,70.4169,15.44,57,52,2.0,KZ,1690228596
191,dogonbadan,30.3586,50.7981,33.05,18,0,3.09,IR,1690228596
192,cherdakly,54.3594,48.845,17.97,77,0,2.0,RU,1690228596
193,kailua-kona,19.6406,-155.9956,28.98,78,20,4.63,US,1690228596
194,washington court house,39.5364,-83.4391,30.2,64,40,0.0,US,1690228596
195,pacific grove,36.6177,-121.9166,26.79,83,20,5.36,US,1690228442
196,novyy urgal,51.0736,132.5642,17.87,99,100,0.66,RU,1690228597
197,balsas,-7.5325,-46.0356,34.32,21,7,2.97,BR,1690228597
198,nuuk,64.1835,-51.7216,12.34,71,20,5.66,GL,1690228371
199,nova sintra,14.8667,-24.7167,22.82,79,100,6.84,CV,1690228597
200,tumayr,25.7039,45.868,33.96,9,79,2.63,SA,1690228597
201,taunggyi,20.7833,97.0333,17.87,95,13,0.91,MM,1690228597
202,pisco,-13.7,-76.2167,22.03,64,0,4.63,PE,1690228476
203,arraial do cabo,-22.9661,-42.0278,23.98,73,0,9.26,BR,1690228598
204,quesnel,52.9999,-122.5029,20.28,60,40,2.57,CA,1690228364
205,saguenay,48.4168,-71.0657,29.49,39,40,2.06,CA,1690228598
206,tegueste,28.5167,-16.3167,20.92,83,40,10.29,ES,1690228315
207,saint-marcellin,45.15,5.3167,21.79,88,100,1.71,FR,1690228598
208,leua,48.2156,18.6071,28.05,52,97,5.07,SK,1690228598
209,qandala,11.472,49.8728,32.55,52,100,3.87,SO,1690228599
210,tazovsky,67.4667,78.7,14.21,94,76,3.12,RU,1690228599
211,roma,43.2128,-75.4557,26.09,65,56,4.11,US,1690228599
212,polyarnyy,69.1989,33.4478,9.3,96,100,5.42,RU,1690228599
213,plouzane,48.3833,-4.6167,16.03,85,75,6.69,FR,1690228599
214,khandyga,62.6667,135.6,17.12,84,50,1.86,RU,1690228599
215,dunedin,-45.8742,170.5036,6.56,97,28,1.34,NZ,1690228600
216,mahina,-17.5065,-149.489,27.87,78,75,5.14,PF,1690228600
217,wildwood,38.5828,-90.6629,34.36,61,0,4.63,US,1690228386
218,arroio grande,-32.2375,-53.0869,11.1,97,100,5.63,BR,1690228600
219,jamestown,42.097,-79.2353,27.51,66,100,4.63,US,1690228456
220,greenwood,34.1668,-82.1165,31.68,58,0,0.0,US,1690228600
221,gevrai,19.2667,75.75,24.58,83,100,6.48,IN,1690228600
222,mudkhed,19.1667,77.5167,24.36,93,100,4.76,IN,1690228601
223,asturias,43.3333,-6.0,17.98,81,99,1.9,ES,1690228601
224,villa gesell,-37.2639,-56.973,8.36,67,90,4.03,AR,1690228601
225,qaqortoq,60.7167,-46.0333,6.96,87,80,3.58,GL,1690228601
226,fada,9.5667,8.3,20.63,97,34,1.61,NG,1690228601
227,ostersund,63.1792,14.6357,16.25,33,97,2.57,SE,1690228545
228,betio village,1.358,172.9211,25.02,77,20,4.76,KI,1690228601
229,hermanus,-34.4187,19.2345,10.76,66,0,2.95,ZA,1690228602
230,howrah,22.5892,88.3103,28.0,89,20,2.06,IN,1690228602
231,erenhot,43.6475,111.9767,24.52,34,73,2.83,CN,1690228602
232,gizo,-8.103,156.8419,26.3,84,100,7.43,SB,1690228602
233,newman,37.3138,-121.0208,34.19,9,63,0.73,US,1690228602
234,zeya,53.75,127.2667,16.59,96,100,3.0,RU,1690228603
235,heppenheim an der bergstrasse,49.6408,8.6372,21.92,62,46,2.68,DE,1690228603
236,port shepstone,-30.7414,30.455,14.25,66,71,3.8,ZA,1690228603
237,brookings,44.3114,-96.7984,31.92,42,0,6.17,US,1690228330
238,mitu,1.1983,-70.1733,27.88,67,81,0.76,CO,1690228603
239,dong ha,16.8163,107.1003,24.64,92,57,1.25,VN,1690228603
240,lichuan,30.3,108.85,18.29,97,100,0.84,CN,1690228603
241,lanett,32.8687,-85.1905,33.8,25,17,2.33,US,1690228604
242,maloye ganyushkino,46.6,49.2667,26.39,53,94,5.0,KZ,1690228604
243,avarua,-21.2078,-159.775,23.03,88,75,2.06,CK,1690228604
244,villazon,-22.0866,-65.5942,18.53,4,5,3.46,BO,1690228604
245,magadan,59.5667,150.8,14.54,63,13,1.96,RU,1690228604
246,bodaybo,57.8506,114.1933,16.15,84,25,0.91,RU,1690228604
247,glace bay,46.1969,-59.957,29.47,59,40,4.63,CA,1690228604
248,ritchie,-29.038,24.6028,10.05,26,100,3.42,ZA,1690228605
249,togur,58.3631,82.8265,15.13,95,43,1.41,RU,1690228605
250,great bend,38.3645,-98.7648,36.69,46,0,3.6,US,1690228439
251,pangkalanbuun,-2.6833,111.6167,22.63,98,17,1.26,ID,1690228605
252,nasugbu,14.1,120.6833,26.5,90,96,5.92,PH,1690228605
253,ust'-ilimsk,58.0006,102.6619,16.9,95,100,1.68,RU,1690228605
254,acapulco de juarez,16.8634,-99.8901,31.51,56,100,3.2,MX,1690228347
255,wotho,10.1657,166.0102,28.33,79,99,8.73,MH,1690228606
256,mersrags,57.3354,23.1246,16.26,88,100,1.68,LV,1690228606
257,gadzhiyevo,69.2551,33.3362,9.2,97,100,5.69,RU,1690228606
258,najaf,31.9985,44.3398,34.88,15,0,2.06,IQ,1690228607
259,adrar,20.5022,-10.0711,38.94,16,49,4.47,MR,1690228607
260,mandalgovi,45.7625,106.2708,17.34,58,100,2.86,MN,1690228607
261,mala,-12.6581,-76.6308,20.59,78,65,4.1,PE,1690228607
262,utrik,11.2278,169.8474,28.33,77,87,7.47,MH,1690228608
263,usakos,-22.0,15.6,18.46,33,7,0.87,NA,1690228608
264,san pedro pochutla,15.7333,-96.4667,30.95,61,100,3.12,MX,1690228608
265,saint-joseph,-21.3667,55.6167,19.21,83,34,3.42,RE,1690228608
266,carnarvon,-24.8667,113.6333,15.47,81,5,5.58,AU,1690228609
267,amurzet,47.6967,131.0981,19.36,94,96,4.4,RU,1690228609
268,korla,41.7597,86.1469,28.06,33,100,5.91,CN,1690228609
269,el matama,16.7095,33.3565,36.04,27,100,9.56,SD,1690228609
270,guerrero negro,27.9769,-114.0611,26.17,51,99,6.73,MX,1690228610
271,ban na san,8.8004,99.3637,23.72,94,89,1.81,TH,1690228610
272,mutare,-18.9707,32.6709,13.78,60,0,1.51,ZW,1690228610
273,ibimirim,-8.5406,-37.6903,24.52,61,53,7.68,BR,1690228610
274,oriximina,-1.7656,-55.8661,34.29,37,9,2.59,BR,1690228610
275,cidreira,-30.1811,-50.2056,17.1,96,100,4.51,BR,1690228611
276,conde,-7.2597,-34.9075,26.7,74,20,6.69,BR,1690228611
277,tiksi,71.6872,128.8694,3.69,82,22,2.2,RU,1690228611
278,nar'yan-mar,67.6713,53.087,16.21,74,100,2.19,RU,1690228611
279,tsiroanomandidy,-18.7667,46.0333,19.27,54,67,0.36,MG,1690228611
280,tromso,69.6496,18.957,15.01,63,0,4.12,NO,1690228611
281,kenai,60.5544,-151.2583,15.05,87,100,5.14,US,1690228454
282,puerto baquerizo moreno,-0.9,-89.6,27.55,74,75,5.91,EC,1690228612
283,saint-pierre,-21.3393,55.4781,19.82,77,0,3.09,RE,1690228612
284,holualoa,19.6228,-155.9522,26.91,79,20,4.63,US,1690228612
285,saipan,15.1355,145.701,27.58,100,0,2.57,MP,1690228612
286,karratha,-20.7377,116.8463,15.72,50,0,6.25,AU,1690228612
287,monrovia,6.3005,-10.7969,25.87,85,100,4.59,LR,1690228613
288,tual,-5.6667,132.75,25.21,76,66,11.13,ID,1690228613
289,general villegas,-35.0328,-63.0125,13.42,41,12,4.57,AR,1690228613
290,toba,34.4833,136.85,26.0,86,8,1.92,JP,1690228613
291,hohhot,40.8106,111.6522,15.16,88,0,2.0,CN,1690228613
292,iskateley,67.6803,53.1512,16.17,74,100,2.26,RU,1690228613
293,al bawiti,28.3492,28.8659,31.96,25,0,7.71,EG,1690228613
294,palmer,42.1584,-72.3287,29.75,51,75,7.72,US,1690228614
295,fort morgan,40.2503,-103.8,34.36,38,0,3.6,US,1690228614
296,guelph,43.5501,-80.2497,27.43,64,75,5.14,CA,1690228441
297,constantia,44.1833,28.65,23.38,73,0,8.59,RO,1690228614
298,hami,42.8,93.45,27.71,23,0,4.88,CN,1690228614
299,new norfolk,-42.7826,147.0587,9.72,85,98,1.63,AU,1690228614
300,mili,6.0815,171.735,27.85,79,98,6.19,MH,1690228614
301,zdvinsk,54.7021,78.661,15.53,84,0,0.38,RU,1690228615
302,myingyan,21.4667,95.3833,28.95,66,10,5.39,MM,1690228615
303,kill devil hills,36.0307,-75.676,28.0,75,75,3.6,US,1690228615
304,kollo,13.3043,2.339,30.24,47,37,1.39,NE,1690228615
305,bunyan,38.8463,35.8603,18.12,73,0,3.65,TR,1690228615
306,howard springs,-12.497,131.047,15.95,50,10,3.63,AU,1690228616
307,oamaru,-45.0784,170.9801,6.86,82,100,1.9,NZ,1690228616
308,lipno,52.8444,19.1785,20.21,67,100,1.27,PL,1690228616
309,vadso,70.0744,29.7487,9.49,100,100,6.17,NO,1690228616
310,fiambala,-27.6871,-67.6149,16.3,33,19,2.13,AR,1690228616
311,opuwo,-18.0607,13.84,19.81,28,4,1.41,NA,1690228616
312,koidu,8.4167,-10.8333,23.58,94,96,0.91,SL,1690228617
313,al jawf,29.5,38.75,31.84,13,0,4.76,SA,1690228617
314,amassoma,4.9692,6.1097,23.28,97,100,1.58,NG,1690228617
315,ta`u,-14.2336,-169.5144,25.87,73,93,5.71,AS,1690228617
316,dhuusamarreeb,5.535,46.3861,25.67,58,100,10.86,SO,1690228617
317,barentu,15.1139,37.5928,22.32,72,98,9.91,ER,1690228617
318,strezhevoy,60.7333,77.5889,17.5,84,99,0.7,RU,1690228618
319,susuman,62.7833,148.1667,13.69,61,25,1.29,RU,1690228618
320,labytnangi,66.6572,66.4183,19.07,62,100,2.93,RU,1690228618
321,kamina,-8.7386,24.9906,20.99,38,0,1.44,CD,1690228618
322,funafuti,-8.5243,179.1942,28.0,94,75,6.69,TV,1690228618
323,cromer,52.9312,1.2989,15.93,72,20,2.24,GB,1690228618
324,san luis de la loma,17.2706,-100.8939,31.34,60,99,3.29,MX,1690228619
325,carbonear,47.7332,-53.2148,25.97,91,94,5.6,CA,1690228619
326,la foa,-21.7108,165.8276,17.28,77,100,2.15,NC,1690228619
327,mangrol,21.1167,70.1167,27.36,87,99,8.68,IN,1690228619
328,mount isa,-20.7333,139.5,11.87,58,69,6.69,AU,1690228619
329,ancud,-41.8697,-73.8203,8.32,93,100,9.42,CL,1690228619
330,dudinka,69.4058,86.1778,13.68,73,40,3.62,RU,1690228620
331,salahonda,2.1019,-78.7217,27.68,82,59,6.83,CO,1690228620
332,jumla,29.2747,82.1838,17.29,97,99,0.63,NP,1690228620
333,charters towers,-20.1,146.2667,10.28,91,53,3.65,AU,1690228620
334,peace river,56.2501,-117.286,19.17,88,100,3.6,CA,1690228620
335,puerto santa,-8.9906,-78.6456,22.89,71,4,6.02,PE,1690228620
336,hammerfest,70.6634,23.6821,11.25,87,75,3.09,NO,1690228621
337,paya,18.25,-70.3,31.25,57,14,6.88,DO,1690228621
338,richards bay,-28.783,32.0377,16.31,75,100,2.99,ZA,1690228410
339,mugia,43.1041,-9.2179,19.39,72,63,4.6,ES,1690228621
340,atafu village,-8.5421,-172.5159,28.93,70,13,7.87,TK,1690228621
341,novyy urengoy,66.0833,76.6333,19.68,68,67,2.79,RU,1690228621
342,worland,44.0169,-107.9554,37.6,26,0,2.57,US,1690228622
343,boone,39.0334,-92.3335,36.9,26,1,2.7,US,1690228622
344,telimele,10.9167,-13.3333,22.48,96,100,1.75,GN,1690228622
345,kalachinsk,55.0529,74.5751,14.65,95,10,3.25,RU,1690228622
346,san andres,12.5847,-81.7006,32.01,70,20,5.14,CO,1690228622
347,zhanjiang,21.2815,110.3427,25.87,85,98,2.51,CN,1690228623
348,bni bouayach,35.1022,-3.841,30.31,42,20,3.09,MA,1690228623
349,labrador city,52.9463,-66.9114,25.95,34,40,4.12,CA,1690228623
350,martapura,-3.4167,114.85,23.05,100,72,0.51,ID,1690228623
351,santa marta,11.2408,-74.199,34.03,49,20,4.12,CO,1690228538
352,the pas,53.8251,-101.2541,26.01,41,0,4.12,CA,1690228623
353,opatija,45.3392,14.3083,28.72,92,68,1.51,HR,1690228624
354,selfoss,63.9331,-20.9971,15.02,84,56,3.92,IS,1690228624
355,urumqi,43.801,87.6005,26.53,28,0,3.0,CN,1690228624
356,lafayette,30.2335,-92.0668,35.01,49,40,2.57,US,1690228529
357,progreso,21.2833,-89.6667,37.28,60,66,6.78,MX,1690228624
358,baker city,44.7749,-117.8344,26.84,29,0,3.09,US,1690228624
359,sao felix do xingu,-6.6447,-51.995,34.21,24,6,1.92,BR,1690228625
360,yuzhno-kurilsk,44.0306,145.8556,17.37,100,100,2.62,RU,1690228625
361,geraldton,-28.7667,114.6,10.23,66,3,5.14,AU,1690228625
362,grande prairie,55.1667,-118.8027,19.1,68,100,2.57,CA,1690228625
363,bel ombre,-4.6167,55.4167,25.91,83,20,6.69,SC,1690228626
364,gudari,19.35,83.7833,25.47,93,69,1.61,IN,1690228626
365,maxixe,-23.8597,35.3472,19.91,93,0,2.24,MZ,1690228626
366,lunguletu,44.6167,25.65,27.42,39,5,2.55,RO,1690228626
